date,transect_datetime,tide,air_temp,water_temp_padaro,water_temp_channel,surf_height,wind_spd,sky,beaufort,vis,detection,transect_small,transect_large,transect_total,manual_small,manual_large,manual_unique,manual_total,small_unique,large_unique,total_unique,airdata,video,effort calculation notes,transect_area_m2,transect_duration_sec,,
5/30/2019,2019-05-30_07-45-55,,,,55.8,,,overcast,1,3,N,0,0,0,,,,,0,0,0,,,"old method, but no sharks",170717.14,1952.7853,,983.2021
5/31/2019,2019-05-31_09-08-02,,,,55.2,,,overcast,1,3,N,0,0,0,,,,,0,0,0,,,"old method, but no sharks",170717.14,1952.7853,,969.5832
6/3/2019,2019-06-03_07-24-21,,,,56.3,,,overcast,1,3,N,0,0,0,,,,,0,0,0,,,"old method, but no sharks",170717.14,1952.7853,,1952.7853
6/4/2019,2019-06-04_09-58-23,,,,57.6,,,overcast,1,3,N,0,0,0,,,,,0,0,0,,,"old method, but no sharks",170717.14,1952.7853,,
6/5/2019,2019-06-05_08-12-58,,,,57.2,,,overcast,1,3,N,0,0,0,,,,,0,0,0,,,"old method, but no sharks",170717.14,1952.7853,,
6/10/2019,,,,,61.3,,,overcast,,,N,0,0,0,,,,,0,0,0,,,"old method, but no sharks",170717.14,1952.7853,,
6/11/2019,2019-06-11_08-10-11,,,,59.0,,,partly cloudy,2,3,N,0,0,0,,,,,0,0,0,,,"old method, but no sharks",170717.14,1952.7853,,
6/12/2019,,,,,59.5,,,overcast,,,N,0,0,0,,,,,0,0,0,,,"old method, but no sharks",170717.14,1952.7853,,
6/13/2019,2019-06-13_07-31-29,,,,61.7,,,overcast,3,2,N,0,0,0,,,,,0,0,0,,,"old method, but no sharks",170717.14,1952.7853,,
6/14/2019,2019-06-14_08-09-36,,,,59.2,,,overcast,,,N,0,0,0,,,,,0,0,0,,,"old method, but no sharks",170717.14,1952.7853,,
6/17/2019,2019-06-17_06-54-53,,,,61.7,,,overcast,1,2,N,0,0,0,,,,,0,0,0,,,"old method, but no sharks",170717.14,1952.7853,,
6/18/2019,2019-06-18_07-38-43,,,,62.1,,,overcast,1,2,N,0,0,0,,,,,0,0,0,,,"old method, but no sharks",170717.14,1952.7853,,
6/19/2019,,,,,62.2,,,overcast,,,N,0,0,0,,,,,0,0,0,,,"old method, but no sharks",170717.14,1952.7853,,
6/20/2019,2019-06-20_07-44-44,,,,62.1,,,overcast,1,3,N,0,0,0,,,,,0,0,0,,,DNF mission 2,119028,1295.333333,,
6/21/2019,,,,,62.8,,,overcast,,,N,0,0,0,,,,,0,0,0,,,DNF 2 & 3,59508,647.6666667,,
6/24/2019,,,,,63.1,,,overcast,,,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
6/25/2019,2019-06-25_08-13-19,,,,62.4,,,overcast,1,3,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
6/26/2019,2019-06-26_07-34-27,,,,63.3,,,overcast,1,3,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
6/27/2019,2019-06-27_07-40-27,,,,63.5,,,cloudy,,,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
6/28/2019,2019-06-28_07-50-00,,,,63.5,,,overcast,1,3,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/1/2019,2019-07-01_07-36-19,,,,60.3,,,sunny,1,3,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/2/2019,2019-07-02_07-49-19,,,,61.0,,,sunny,1,3,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/3/2019,2019-07-03_07-38-43,,,,62.4,,,partly cloudy,0,4,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/5/2019,2019-07-05_07-06-32,,,,61.2,,,partly cloudy,1,3,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/8/2019,2019-07-08_07-00-01,,,,60.4,,,overcast,1,2,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/9/2019,2019-07-09_07-25-06,,,,62.6,,,overcast,1,3,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/10/2019,,,,,61.0,,,overcast,,,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/11/2019,2019-07-11_07-36-51,,,,60.8,,,partly cloudy,2,2,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/12/2019,,,,,61.9,,,overcast,1,3,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/15/2019,,,,,62.6,,,overcast,,,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/16/2019,,,,,60.8,,,overcast,1,3,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/17/2019,,,,,58.8,,,overcast,1,2,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/18/2019,,,,64.6,59.4,,,overcast,1,2,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/19/2019,2019-07-19_07-31-24,,,64.4,62.1,,,overcast,1,2,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/22/2019,,,,63.4,62.8,,,overcast,,,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/23/2019,,,,63.6,63.1,,,overcast,,,N,0,0,0,,,,,0,0,0,,,,178524,1943,,
7/24/2019,2019-07-24_08-03-50,,,66.0,62.4,,,sunny,1,4,Y,0,1,0,,,,,0,1,0,,,,178524,1943,,
7/25/2019,2019-07-25_07-48-26,,,65.7,61.2,,,partly cloudy,1,2,N,0,0,0,,,,,,,,,,,178524,1943,,
7/26/2019,2019-07-26_07-31-49,,,63.4,61.2,,,partly cloudy,1,3,N,0,0,0,,,,,,,,,,,178524,1943,,
7/29/2019,,,,65.3,59.2,,,overcast,,,N,0,0,0,,,,,,,,,,,178524,1943,,
7/30/2019,2019-07-30_07-34-39,,,65.0,58.3,,,partly cloudy,1,4,N,0,0,0,,,,,,,,,,,178524,1943,,
7/31/2019,2019-07-31_07-55-46,,,63.2,59.5,,,partly cloudy,1,3,Y,0,0,0,,,,,,,,,,,178524,1943,,
8/1/2019,2019-08-01_07-51-59,,,62.50,61.0,,,overcast,1,2,Y,0,0,0,,,,,,,,,,,178524,1943,,
8/2/2019,,,,63.73,61.0,,,overcast,1,3,DNF,,,,,,,,,,,,,,178524,1943,,
8/5/2019,,,,63.50,58.1,,,overcast,,,DNF,0,0,0,,,,,,,,,,,178524,1943,,
8/6/2019,2019-08-06_07-53-00,,,63.96,58.1,,,partly cloudy,2,2,N,0,0,0,,,,,,,,,,,178524,1943,,
8/7/2019,2019-08-07_08-07-15,,,63.81,57.9,,,overcast,1,2,N,0,0,0,,,,,,,,,,,178524,1943,,
8/8/2019,2019-08-08_08-57-06,,,62.19,59.2,,,overcast,1,2,N,0,0,0,,,,,,,,,,,178524,1943,,
8/9/2019,2019-08-09_08-04-09,,,62.11,57.4,,,sunny,1,2,N,0,0,0,,,,,,,,,,,178524,1943,,
8/12/2019,2019-08-12_07-55-02,,,63.42,59.7,,,overcast,0,2,N,0,0,0,,,,,,,,,,,178524,1943,,
8/13/2019,,,,65.1,59.5,,,overcast,,,DNF,,,,,,,,,,,,,,178524,1943,,
8/14/2019,,,,65.5,60.3,,,overcast,,,DNF,,,,,,,,,,,,,,178524,1943,,
8/15/2019,,,,64.5,60.6,,,overcast,,,DNF,,,,,,,,,,,,,,178524,1943,,
8/16/2019,,,,64.4,62.2,,,overcast,,,DNF,,,,,,,,,,,,,,178524,1943,,
8/19/2019,2019-08-19_07-56-12,,,65.4,64.2,,,cloudy,1,2,N,0,0,0,,,,,,,,,,,178524,1943,,
8/20/2019,2019-08-20_07-43-26,,,65.97,64.4,,,cloudy,1,2,N,0,0,0,,,,,,,,,,,178524,1943,,
8/21/2019,2019-08-21_07-46-43,,,67.59,65.8,,,sunny,0,3,Y,1,0,1,,,,,,,,,,,178524,1943,,
8/22/2019,,,,68.37,65.1,,,overcast,,,DNF,,,,,,,,,,,,,,178524,1943,,
8/23/2019,2019-08-23_08-15-24,,,69.91,65.1,,,overcast,1,2,N,0,0,0,,,,,,,,,,,178524,1943,,
8/26/2019,2019-08-26_08-10-32,,,66.90,65.8,,,partly cloudy,0,2,N,0,0,0,,,,,,,,,,,178524,1943,,
8/27/2019,2019-08-27_07-55-54,,,65.35,63.5,,,sunny,2,2,N,0,0,0,,,,,,,,,,,178524,1943,,
8/28/2019,,,,66.13,63.7,,,overcast,,,DNF,,,,,,,,,,,,,,178524,1943,,
8/29/2019,2019-08-29_07-38-55,,,66.44,66.2,,,sunny,1,4,N,0,0,0,,,,,,,,,,,178524,1943,,
8/30/2019,,,,66.74,65.6,,,sunny,2,4,N,0,0,0,,,,,,,,,,,178524,1943,,
9/3/2019,2019-09-03_08-42-06,,,65.74,65.1,,,sunny,0,3,N,0,0,0,,,,,,,,,,,178524,1943,,
9/4/2019,2019-09-04_11-10-47,,,62.73,65.3,,,sunny,1,5,N,0,0,0,,,,,,,,,,,178524,1943,,
9/5/2019,2019-09-05_11-24-38,,,66.82,66.0,,,sunny,1,4,N,0,0,0,,,,,,,,,,,178524,1943,,
9/6/2019,2019-09-06_11-21-28,,,64.66,64.9,,,sunny,1,4,N,0,0,0,,,,,,,,,,,178524,1943,,
9/9/2019,2019-09-09_11-19-05,,,66.20,63.0,,,sunny,1,3,Y,1,0,1,,,,,,,,,,,178524,1943,,
9/10/2019,2019-09-10_11-16-37,,,67.67,64.8,,,partly cloudy,2,1,N,0,0,0,,,,,,,,,,,178524,1943,,
9/11/2019,2019-09-11_12-33-50,,,66.9,65.8,,,sunny,1,3,Y,0,2,0,,,,,,,,,,,178524,1943,,
9/12/2019,2019-09-12_07-49-03,,,66.74,64.8,,,sunny,0,2,Y,1,0,1,,,,,,,,,,,178524,1943,,
9/13/2019,2019-09-13_09-50-08,,,65.82,67.3,,,sunny,1,4,Y,1,0,1,,,,,,,,,,,178524,1943,,
9/18/2019,2019-09-18_11-38-26,,,67.75,65.8,,,sunny,1,5,N,0,0,0,,,,,,,,,,,178524,1943,,
9/19/2019,2019-09-19_11-57-16,,,68.44,67.6,,,overcast,1,2,N,0,0,0,,,,,,,,,,,178524,1943,,
9/20/2019,2019-09-20_11-22-53,,,69.45,66.4,,,sunny,1,5,N,0,0,0,,,,,,,,,,,178524,1943,,
9/23/2019,2019-09-23_12-29-39,,,67.44,65.5,,,sunny,1,5,N,0,0,0,,,,,,,,,,,178524,1943,,
9/24/2019,2019-09-24_11-22-04,,,67.67,67.3,,,sunny,1,5,N,0,0,0,,,,,,,,,,,178524,1943,,
9/25/2019,2019-09-25_11-17-04,,,67.59,67.3,,,partly cloudy,1,5,N,0,0,0,,,,,,,,,,,178524,1943,,
9/26/2019,2019-09-26_12-18-10,,,69.52,66.6,,,overcast,1,2,N,0,0,0,,,,,,,,,,,178524,1943,,
9/27/2019,,,,69.22,68.2,,,overcast,0,2,N,0,0,0,,,,,,,,,,,178524,1943,,
9/30/2019,2019-09-30_12-25-15,,,65.74,64.2,,,sunny,1,4,Y,0,2,2,,,,,,,,,,,178524,1943,,
10/2/2019,2019-10-02_12-35-21,,,65.59,64.8,,,sunny,1,3,Y,0,2,2,,,,,,,,,,"only 1 block (#3), 2 videos: 5:12+5:34",59508,646,,
10/4/2019,2019-10-04_10-53-47,,,65.28,64.6,,,sunny,1,4,Y,2,3,5,,,,,,,,,,,178524,1943,,
10/7/2019,2019-10-07_16-50-15,,,64.74,64.8,,,sunny,2,3,Y,0,5,5,,,,,,,,,,,178524,1943,,
10/9/2019,2019-10-09_13-35-39,,,65.20,63.5,,,overcast,1,2,N,0,0,0,,,,,,,,,,,178524,1943,,
10/11/2019,2019-10-11_10-57-00,,,63.27,63.3,,,sunny,1,4,Y,1,4,5,,,,,,,,,,1 full block + 5:16 + 5:34 videos ,119028,1295.333333,,
10/14/2019,2019-10-14_10-40-23,,,65.05,63.9,,,sunny,,,DNF,,,,,,,,,,,,,,178524,1943,,
10/16/2019,2019-10-16_12-16-11,,,64.27,64.6,,,sunny,1,4,Y,0,1,1,,,,,,,,,,2 full blocks (1&3) + 5:10 video,148770,1619.166667,,
10/18/2019,2019-10-18_12-23-41,,,63.89,62.2,,,sunny,1,3,N,0,0,0,,,,,,,,,,,178524,1943,,
10/21/2019,2019-10-21_14-53-02,,,64.74,67.5,,,sunny,1,3,Y,3,3,6,,,,,,,,,,,178524,1943,,
10/23/2019,2019-10-23_12-50-05,,,63.35,64.4,,,sunny,0,2,Y,2,1,3,,,,,,,,,,,178524,1943,,
10/25/2019,2019-10-25_09-34-58,,,63.66,61.5,,,sunny,0,3,Y,4,0,4,,,,,,,,,,,178524,1943,,
10/28/2019,2019-10-28_14_09_33,,,65.28,65.5,,,sunny,2,3,N,0,0,0,,,,,,,,,,,178524,1943,,
10/30/2019,2019-10-30_11-59-16,,,64.74,62.8,,,sunny,2,3,N,0,0,0,,,,,,,,,,,178524,1943,,
11/1/2019,,,,63.11,61.9,,,sunny,1,4,N,0,0,0,,,,,,,,,,,178524,1943,,
11/4/2019,2019-11-04_15-59-02,,,63.11,63.7,,,sunny,2,2,Y,1,0,1,,,,,,,,,,,178524,1943,,
11/6/2019,2019-11-06_11-49-34,,,63.58,64,,,sunny,1,3,N,0,0,0,,,,,,,,,,,178524,1943,,
11/9/2019,2019-11-09_14-39-43,,,63.04,64,,,sunny,1,2,Y,1,0,1,,,,,,,,,,,178524,1943,,
11/13/2019,2019-11-13_13-12-32,,,62.50,63.7,,,overcast,1,2,N,0,0,0,,,,,,,,,,,178524,1943,,
11/15/2019,2019-11-15_12-03-49,,,63.27,63,,,cloudy,1,3,N,0,0,0,,,,,,,,,,,178524,1943,,
11/18/2019,2019-11-18_12-38-24,,,63.19,63.7,,,sunny,0,3,Y,3,1,4,,,,,,,,,,,178524,1943,,
11/20/2019,2019-11-20_12-13-02,,,62.65,62,,,overcast,2,2,N,0,0,0,,,,,,,,,,,178524,1943,,
11/22/2019,2019-11-22_10-31-22,,,63.11,62.2,,,sunny,1,4,Y,1,0,1,,,,,,,,,,,178524,1943,,
11/25/2019,2019-11-25_09-58-05,,,62.19,62.8,,,overcast,2,2,N,0,0,0,,,,,,,,,,,178524,1943,,
11/27/2019,,,,61.11,62.1,,,overcast,,,DNF,,,,,,,,,,,,,,178524,1943,,
12/2/2019,2019-12-02_15-00-19,,,59.41,60.4,,,cloudy,1,3,N,0,0,0,,,,,,,,,,,178524,1943,,
12/6/2019,2019-12-06_08-06-46,,,60.34,61.0,,,cloudy,0,2,N,0,0,0,,,,,,,,,,,178524,1943,,
