"Date","Time (LST/LDT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2019/05/30","00:00","-0.262","-","-0.261"
"2019/05/30","01:00","-0.459","-","-0.406"
"2019/05/30","02:00","-0.546","-","-0.492"
"2019/05/30","03:00","-0.516","-","-0.425"
"2019/05/30","04:00","-0.378","-","-0.401"
"2019/05/30","05:00","-0.175","-","-0.196"
"2019/05/30","06:00","0.029","-","0.039"
"2019/05/30","07:00","0.183","-","0.162"
"2019/05/30","08:00","0.244","-","0.269"
"2019/05/30","09:00","0.194","-","0.203"
"2019/05/30","10:00","0.05","-","0.068"
"2019/05/30","11:00","-0.147","-","-0.173"
"2019/05/30","12:00","-0.336","-","-0.296"
"2019/05/30","13:00","-0.452","-","-0.45"
"2019/05/30","14:00","-0.453","-","-0.421"
"2019/05/30","15:00","-0.333","-","-0.329"
"2019/05/30","16:00","-0.103","-","-0.069"
"2019/05/30","17:00","0.19","-","0.211"
"2019/05/30","18:00","0.474","-","0.492"
"2019/05/30","19:00","0.679","-","0.688"
"2019/05/30","20:00","0.758","-","0.767"
"2019/05/30","21:00","0.68","-","0.704"
"2019/05/30","22:00","0.46","-","0.504"
"2019/05/30","23:00","0.146","-","0.125"
"2019/05/31","00:00","-0.194","-","-0.22"
"2019/05/31","01:00","-0.486","-","-0.483"
"2019/05/31","02:00","-0.667","-","-0.638"
"2019/05/31","03:00","-0.713","-","-0.686"
"2019/05/31","04:00","-0.621","-","-0.595"
"2019/05/31","05:00","-0.419","-","-0.449"
"2019/05/31","06:00","-0.169","-","-0.098"
"2019/05/31","07:00","0.061","-","0.036"
"2019/05/31","08:00","0.218","-","0.233"
"2019/05/31","09:00","0.261","-","0.247"
"2019/05/31","10:00","0.183","-","0.177"
"2019/05/31","11:00","0.017","-","0.039"
"2019/05/31","12:00","-0.179","-","-0.193"
"2019/05/31","13:00","-0.341","-","-0.35"
"2019/05/31","14:00","-0.406","-","-0.416"
"2019/05/31","15:00","-0.347","-","-0.362"
"2019/05/31","16:00","-0.162","-","-0.145"
"2019/05/31","17:00","0.118","-","0.099"
"2019/05/31","18:00","0.43","-","0.425"
"2019/05/31","19:00","0.693","-","0.701"
"2019/05/31","20:00","0.842","-","0.824"
"2019/05/31","21:00","0.835","-","0.824"
"2019/05/31","22:00","0.654","-","0.657"
"2019/05/31","23:00","0.337","-","0.348"
"2019/06/01","00:00","-0.047","-","-0.041"
"2019/06/01","01:00","-0.421","-","-0.376"
"2019/06/01","02:00","-0.708","-","-0.667"
"2019/06/01","03:00","-0.853","-","-0.836"
"2019/06/01","04:00","-0.84","-","-0.794"
"2019/06/01","05:00","-0.681","-","-0.669"
"2019/06/01","06:00","-0.421","-","-0.42"
"2019/06/01","07:00","-0.135","-","-0.126"
"2019/06/01","08:00","0.107","-","0.132"
"2019/06/01","09:00","0.252","-","0.253"
"2019/06/01","10:00","0.266","-","0.286"
"2019/06/01","11:00","0.158","-","0.183"
"2019/06/01","12:00","-0.019","-","0.006"
"2019/06/01","13:00","-0.201","-","-0.173"
"2019/06/01","14:00","-0.323","-","-0.305"
"2019/06/01","15:00","-0.331","-","-0.318"
"2019/06/01","16:00","-0.207","-","-0.205"
"2019/06/01","17:00","0.035","-","0.032"
"2019/06/01","18:00","0.347","-","0.337"
"2019/06/01","19:00","0.655","-","0.67"
"2019/06/01","20:00","0.876","-","0.875"
"2019/06/01","21:00","0.953","-","0.989"
"2019/06/01","22:00","0.847","-","0.821"
"2019/06/01","23:00","0.567","-","0.596"
"2019/06/02","00:00","0.171","-","0.168"
"2019/06/02","01:00","-0.259","-","-0.217"
"2019/06/02","02:00","-0.642","-","-0.671"
"2019/06/02","03:00","-0.904","-","-0.908"
"2019/06/02","04:00","-0.997","-","-0.98"
"2019/06/02","05:00","-0.919","-","-0.897"
"2019/06/02","06:00","-0.697","-","-0.669"
"2019/06/02","07:00","-0.394","-","-0.376"
"2019/06/02","08:00","-0.087","-","-0.092"
"2019/06/02","09:00","0.152","-","0.15"
"2019/06/02","10:00","0.272","-","0.258"
"2019/06/02","11:00","0.253","-","0.272"
"2019/06/02","12:00","0.125","-","0.15"
"2019/06/02","13:00","-0.048","-","-0.03"
"2019/06/02","14:00","-0.204","-","-0.214"
"2019/06/02","15:00","-0.28","-","-0.234"
"2019/06/02","16:00","-0.229","-","-0.239"
"2019/06/02","17:00","-0.047","-","-0.082"
"2019/06/02","18:00","0.235","-","0.274"
"2019/06/02","19:00","0.558","-","0.563"
"2019/06/02","20:00","0.841","-","0.851"
"2019/06/02","21:00","1.006","-","0.984"
"2019/06/02","22:00","0.998","-","0.973"
"2019/06/02","23:00","0.798","-","0.745"
"2019/06/03","00:00","0.437","-","0.489"
"2019/06/03","01:00","-0.011","-","0.024"
"2019/06/03","02:00","-0.462","-","-0.435"
"2019/06/03","03:00","-0.833","-","-0.853"
"2019/06/03","04:00","-1.053","-","-1.068"
"2019/06/03","05:00","-1.088","-","-1.028"
"2019/06/03","06:00","-0.951","-","-0.96"
"2019/06/03","07:00","-0.682","-","-0.683"
"2019/06/03","08:00","-0.349","-","-0.335"
"2019/06/03","09:00","-0.037","-","-0.05"
"2019/06/03","10:00","0.184","-","0.196"
"2019/06/03","11:00","0.274","-","0.272"
"2019/06/03","12:00","0.23","-","0.239"
"2019/06/03","13:00","0.097","-","0.096"
"2019/06/03","14:00","-0.063","-","-0.031"
"2019/06/03","15:00","-0.187","-","-0.166"
"2019/06/03","16:00","-0.214","-","-0.235"
"2019/06/03","17:00","-0.11","-","-0.095"
"2019/06/03","18:00","0.112","-","0.133"
"2019/06/03","19:00","0.412","-","0.41"
"2019/06/03","20:00","0.727","-","0.704"
"2019/06/03","21:00","0.97","-","0.997"
"2019/06/03","22:00","1.068","-","1.103"
"2019/06/03","23:00","0.979","-","0.94"
"2019/06/04","00:00","0.705","-","0.679"
"2019/06/04","01:00","0.29","-","0.279"
"2019/06/04","02:00","-0.184","-","-0.163"
"2019/06/04","03:00","-0.632","-","-0.59"
"2019/06/04","04:00","-0.972","-","-0.933"
"2019/06/04","05:00","-1.143","-","-1.131"
"2019/06/04","06:00","-1.126","-","-1.11"
"2019/06/04","07:00","-0.944","-","-0.936"
"2019/06/04","08:00","-0.642","-","-0.641"
"2019/06/04","09:00","-0.298","-","-0.287"
"2019/06/04","10:00","0.002","-","0.027"
"2019/06/04","11:00","0.198","-","0.223"
"2019/06/04","12:00","0.264","-","0.261"
"2019/06/04","13:00","0.208","-","0.245"
"2019/06/04","14:00","0.079","-","0.075"
"2019/06/04","15:00","-0.061","-","-0.057"
"2019/06/04","16:00","-0.149","-","-0.112"
"2019/06/04","17:00","-0.133","-","-0.12"
"2019/06/04","18:00","0.006","-","-0.005"
"2019/06/04","19:00","0.247","-","0.248"
"2019/06/04","20:00","0.546","-","0.543"
"2019/06/04","21:00","0.835","-","0.799"
"2019/06/04","22:00","1.027","-","1.06"
"2019/06/04","23:00","1.06","-","1.046"
"2019/06/05","00:00","0.909","-","0.921"
"2019/06/05","01:00","0.588","-","0.608"
"2019/06/05","02:00","0.149","-","0.172"
"2019/06/05","03:00","-0.326","-","-0.289"
"2019/06/05","04:00","-0.75","-","-0.728"
"2019/06/05","05:00","-1.05","-","-0.94"
"2019/06/05","06:00","-1.175","-","-1.137"
"2019/06/05","07:00","-1.118","-","-1.058"
"2019/06/05","08:00","-0.906","-","-0.817"
"2019/06/05","09:00","-0.59","-","-0.505"
"2019/06/05","10:00","-0.253","-","-0.189"
"2019/06/05","11:00","0.027","-","0.055"
"2019/06/05","12:00","0.203","-","0.208"
"2019/06/05","13:00","0.256","-","0.295"
"2019/06/05","14:00","0.198","-","0.283"
"2019/06/05","15:00","0.079","-","0.111"
"2019/06/05","16:00","-0.037","-","0.042"
"2019/06/05","17:00","-0.095","-","-0.058"
"2019/06/05","18:00","-0.053","-","-0.013"
"2019/06/05","19:00","0.099","-","0.162"
"2019/06/05","20:00","0.338","-","0.384"
"2019/06/05","21:00","0.618","-","0.636"
"2019/06/05","22:00","0.867","-","0.851"
"2019/06/05","23:00","1.007","-","0.996"
"2019/06/06","00:00","0.992","-","1.002"
"2019/06/06","01:00","0.807","-","0.823"
"2019/06/06","02:00","0.467","-","0.466"
"2019/06/06","03:00","0.03","-","0.016"
"2019/06/06","04:00","-0.42","-","-0.349"
"2019/06/06","05:00","-0.808","-","-0.762"
"2019/06/06","06:00","-1.068","-","-1.019"
"2019/06/06","07:00","-1.157","-","-1.084"
"2019/06/06","08:00","-1.074","-","-1.025"
"2019/06/06","09:00","-0.848","-","-0.809"
"2019/06/06","10:00","-0.535","-","-0.52"
"2019/06/06","11:00","-0.214","-","-0.196"
"2019/06/06","12:00","0.05","-","0.07"
"2019/06/06","13:00","0.215","-","0.267"
"2019/06/06","14:00","0.263","-","0.302"
"2019/06/06","15:00","0.209","-","0.278"
"2019/06/06","16:00","0.106","-","0.118"
"2019/06/06","17:00","0.008","-","0.058"
"2019/06/06","18:00","-0.038","-","-0.013"
"2019/06/06","19:00","0.006","-","0.033"
"2019/06/06","20:00","0.149","-","0.201"
"2019/06/06","21:00","0.366","-","0.37"
"2019/06/06","22:00","0.61","-","0.589"
"2019/06/06","23:00","0.815","-","0.805"
"2019/06/07","00:00","0.918","-","0.954"
"2019/06/07","01:00","0.88","-","0.857"
