date,time,tide,air_temp,water_temp_padaro,water_temp_channel,surf_height,wind_spd,sky,beaufort,vis,detection,transect_small,transect_large,transect_total,manual_small,manual_large,manual_unique,manual_total,small_unique,large_unique,total_unique,transect_method,first,airdata,video,notes,individual_identifiers,small_7_day,large_7_day,total_7_day,transect_datetime,transect_area_m2,transect_duration_sec,manual_datetime,manual_area_m2,manual_duration_sec,To be annotated,Annotated
5/20/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,N,Y,transect 1 only,,,,,,,,,,,,
5/21/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,N,Y,,,,,,,,,,,,,
5/22/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,N,Y,,,,,,,,,,,,,
5/23/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,N,Y,transect 1 flown twice,,,,,,,,,,,,
5/25/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,N,Y,,,,,,,,,,,,,
5/26/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,Y,Y,,,,,,,,,,,,,
5/27/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,Y,Y,,,,,,,,,,,,,
5/28/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,Y,Y,,,,,,,,,,,,,
6/3/2020,,,,,,,,Overcast,,,,,,,,,,,,,,2019_transects,,Y,N,transect 1 only; too foggy to fly so aborted remaining flights,,,,,,,,,,,,
6/8/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,Y,N,no transect 3; aborted because of wind,,,,,,,,,,,,
6/9/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,Y,N,AM flight was haphazard flight only because I forgot the SD card. Observed 1 small shark. Haphazard flight data in Airdata. In afternoon - flew transect 1 only but beach was busy and glare was so strong that survey visibility was impared,,,,,,,,,,,,
6/10/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,Y,Y,,,,,,,,,,,,,
6/11/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,Y,Y,,,,,,,,,,,,,
6/12/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,Y,Y,,,,,,,,,,,,,
6/15/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,Y,Y,,,,,,,,,,,,,
6/16/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,Y,Y,,,,,,,,,,,,,
6/17/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,Y,N,,,,,,,,,,,,,
6/18/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,Y,Y,,,,,,,,,,,,,
6/19/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,Y,Y,,,,,,,,,,,,,
6/21/2020,,,,,,,,,,,,,,,,,,,,,,2019_transects,,Y,Y,no transect 3,,,,,,,,,,,,
6/22/2020,,,,,,,,,,,,,,,,,,,,,,"15kmh_40m, 20kmh_middle_40m",,Y,Y,,,,,,,,,,,,,
6/23/2020,,,,,,,,,,,,,,,,,,,,,,20kmh_40m,haphazard,Y,Y,manual inner transect,,,,,,,,,,,,
6/24/2020,,,,,,,,Overcast,0,1,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,HAT,Y,N,FIRST DAY OF FINALIZED PROTOCOL,missing inner transect video,0,0,0,2020-06-24_11-18-11,172974.152,616.545307,2020-06-24_11-41-18,380036.5,1213.816,,
6/25/2020,,,,,,,,Overcast,0,2,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,HAT,Y,Y,,,0,0,0,2020-06-25_11-19-50,175206.0129,662.4621256,2020-06-25_11-42-33,290733.6,840.3992,,
6/26/2020,,,,,,,,Cloudy,2,1,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,haphazard,Y,Y,,,0,0,0,2020-06-26_13-44-15,172435.3521,660.2898004,2020-06-26_13-22-04,257999.6,1100.463,,
6/29/2020,,,,,,,,Partly Cloudy,2,3,Y,0,0,0,0,1,1,,0,1,1,20kmh_40m,HAT,Y,Y,,,0,1,1,2020-06-29_11-24-38,172404.099,580.390111,2020-06-29_11-43-09,170396.9,709.7003,,
6/30/2020,,,,,,,,Sunny,1,4,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,haphazard,Y,Y,,,0,0,0,2020-06-30_10-34-40,185481.2619,661.499709,2020-06-30_09-48-44,350000.4,1031.791,,
7/1/2020,,,,,,,,Cloudy,1,3,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,HAT,Y,Y,,,0,0,0,2020-07-01_10-41-01,172403.8739,608.3520189,2020-07-01_11-02-46,322730.9,937.7242,,
7/2/2020,,,,,,,,,1,3,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,haphazard,Y,Y,,,0,0.1428571429,0.1428571429,2020-07-02_10-09-52,172404.7578,610.5070502,2020-07-02_09-50-05,275837.4,1054.986,,
