"Date","Time (LST/LDT)","Wind Speed (m/s)","Wind Dir (deg)","Wind Gust (m/s)","Air Temp (°C)","Baro (mb)","Humidity (%)","Visibility (km)"
"2020/05/19","00:00","2.5","265","3.5","15","1014.4","-","-"
"2020/05/19","01:00","4.3","290","6","15","1014.2","-","-"
"2020/05/19","02:00","2.6","275","6.5","14.9","1014.1","-","-"
"2020/05/19","03:00","2","288","4.3","14.7","1014.1","-","-"
"2020/05/19","04:00","2.1","272","4","14.5","1014.3","-","-"
"2020/05/19","05:00","3.5","311","5.4","14.3","1014.2","-","-"
"2020/05/19","06:00","2.7","314","4.3","14.4","1014.4","-","-"
"2020/05/19","07:00","3.2","314","7.1","14.9","1015","-","-"
"2020/05/19","08:00","2.9","345","5.6","15.8","1015.4","-","-"
"2020/05/19","09:00","5.2","238","6.5","16.3","1015.8","-","-"
"2020/05/19","10:00","6.9","253","9.2","16.6","1015.8","-","-"
"2020/05/19","11:00","9","249","13.3","16.2","1016.1","-","-"
"2020/05/19","12:00","7.5","249","12.9","17.3","1015.7","-","-"
"2020/05/19","13:00","8.5","251","15.3","16.6","1015.7","-","-"
"2020/05/19","14:00","8.4","255","13.9","16.2","1015.4","-","-"
"2020/05/19","15:00","8.7","258","13.9","16.9","1015.4","-","-"
"2020/05/19","16:00","8.3","249","15.7","16.7","1015.1","-","-"
"2020/05/19","17:00","10.3","257","14.9","15.6","1015.1","-","-"
"2020/05/19","18:00","6.6","250","8.5","17","1014.9","-","-"
"2020/05/19","19:00","5.1","323","10.5","19.8","1014.2","-","-"
"2020/05/19","20:00","5","310","8.4","18.6","1014.9","-","-"
"2020/05/19","21:00","1.4","317","1.8","18.1","1015.6","-","-"
"2020/05/19","22:00","4.1","311","6.4","17.4","1016.4","-","-"
"2020/05/19","23:00","2.2","321","3.5","16.8","1016.8","-","-"
"2020/05/20","00:00","1.2","143","1.5","15.4","1016.7","-","-"
"2020/05/20","01:00","1.8","22","2","14","1017.1","-","-"
"2020/05/20","02:00","1.7","23","3.2","13.8","1016.8","-","-"
"2020/05/20","03:00","1.6","222","2.2","13.3","1016.8","-","-"
"2020/05/20","04:00","0.4","349","1.9","13","1016.7","-","-"
"2020/05/20","05:00","0.6","360","1.2","12.6","1017.1","-","-"
"2020/05/20","06:00","1.1","335","1.9","12.3","1017.5","-","-"
"2020/05/20","07:00","1.8","47","2.5","13.5","1018.2","-","-"
"2020/05/20","08:00","1.2","60","1.8","13.9","1018.6","-","-"
"2020/05/20","09:00","0.8","101","1.5","14.7","1018.9","-","-"
"2020/05/20","10:00","1.4","85","1.7","14.6","1018.5","-","-"
"2020/05/20","11:00","2.4","214","2.6","14.6","1018.6","-","-"
"2020/05/20","12:00","2.3","215","2.7","15","1018.3","-","-"
"2020/05/20","13:00","3.8","204","4","15","1017.8","-","-"
"2020/05/20","14:00","1.6","161","2.3","16.1","1017.2","-","-"
"2020/05/20","15:00","1.8","171","2.1","16.6","1016.5","-","-"
"2020/05/20","16:00","2.3","107","3.5","16.1","1015.5","-","-"
"2020/05/20","17:00","2.3","80","3.1","16.2","1014.8","-","-"
"2020/05/20","18:00","1.2","150","1.8","16.3","1014.1","-","-"
"2020/05/20","19:00","1.1","77","1.5","16.6","1014","-","-"
