#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2021 04 01 00 00 286  4.4  5.5 99.00 99.00 99.00 999 1017.2  13.8  13.4  11.2 99.0 99.00 
2021 04 01 00 10 288  4.6  5.7 99.00 99.00 99.00 999 1017.3  13.9  13.4  11.2 99.0 99.00 
2021 04 01 00 20 285  4.5  5.5 99.00 99.00 99.00 999 1017.1  13.8  13.4  11.2 99.0 99.00 
2021 04 01 00 30 292  4.8  5.8 99.00 99.00 99.00 999 1017.1  13.8  13.4  11.1 99.0 99.00 
2021 04 01 00 40 287  4.5  5.5  0.97  9.09  5.93 277 1017.1  13.8  13.3  11.2 99.0 99.00 
2021 04 01 00 50 280  4.4  5.1 99.00 99.00 99.00 999 1017.0  13.7  13.3  11.3 99.0 99.00 
2021 04 01 01 00 279  3.9  5.0 99.00 99.00 99.00 999 1017.1  13.6  13.4  11.4 99.0 99.00 
2021 04 01 01 10 277  3.3  4.3 99.00 99.00 99.00 999 1017.1  13.6  13.3  11.5 99.0 99.00 
2021 04 01 01 20 260  2.8  3.7 99.00 99.00 99.00 999 1017.1  13.6  13.3  11.5 99.0 99.00 
2021 04 01 01 30 254  2.4  3.2 99.00 99.00 99.00 999 1017.3  13.5  13.3  11.5 99.0 99.00 
2021 04 01 01 40 248  2.5  3.2  1.01 12.12  6.03 265 1017.1  13.4  13.2  11.5 99.0 99.00 
2021 04 01 01 50 241  2.8  3.6 99.00 99.00 99.00 999 1017.2  13.2  13.1  11.6 99.0 99.00 
2021 04 01 02 00 255  2.5  3.5 99.00 99.00 99.00 999 1017.1  13.3  13.0  11.8 99.0 99.00 
2021 04 01 02 10 268  2.7  3.6 99.00 99.00 99.00 999 1017.0  13.2  13.1  11.9 99.0 99.00 
2021 04 01 02 20 266  2.9  3.8 99.00 99.00 99.00 999 1017.0  13.1  13.1  12.0 99.0 99.00 
2021 04 01 02 30 252  2.7  3.5 99.00 99.00 99.00 999 1017.0  13.1  13.0  12.2 99.0 99.00 
2021 04 01 02 40 243  2.8  3.6  1.02 12.12  6.36 261 1016.9  13.0  12.9  12.2 99.0 99.00 
2021 04 01 02 50 241  2.4  3.2 99.00 99.00 99.00 999 1016.9  12.9  12.9  12.3 99.0 99.00 
2021 04 01 03 00 246  2.4  3.5 99.00 99.00 99.00 999 1017.0  12.9  12.8  12.3 99.0 99.00 
2021 04 01 03 10 253  2.9  3.7 99.00 99.00 99.00 999 1017.0  12.9  12.8  12.4 99.0 99.00 
2021 04 01 03 20 255  2.9  3.6 99.00 99.00 99.00 999 1017.1  12.9  12.7  12.4 99.0 99.00 
2021 04 01 03 30 239  2.7  3.9 99.00 99.00 99.00 999 1017.2  12.9  12.7  12.4 99.0 99.00 
2021 04 01 03 40 230  3.7  4.7  0.91 11.43  6.34 272 1017.1  12.9  12.6  12.5 99.0 99.00 
2021 04 01 03 50 231  3.9  4.7 99.00 99.00 99.00 999 1017.3  12.8  12.6  12.4 99.0 99.00 
