#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2021 08 01 00 00 265  8.1 10.1 99.00 99.00 99.00 999 1016.9  16.0  17.0  14.5 99.0 99.00 
2021 08 01 00 10 263  8.2 10.0 99.00 99.00 99.00 999 1016.8  16.1  17.0  14.6 99.0 99.00 
2021 08 01 00 20 263  8.2 10.3 99.00 99.00 99.00 999 1016.7  16.1  17.0  14.6 99.0 99.00 
2021 08 01 00 30 263  8.3 10.3 99.00 99.00 99.00 999 1016.7  16.1  17.0  14.6 99.0 99.00 
2021 08 01 00 40 263  8.0 10.2  1.13  4.76  4.10 273 1016.7  16.1  17.0  14.6 99.0 99.00 
2021 08 01 00 50 263  8.5 10.2 99.00 99.00 99.00 999 1016.5  16.1  17.0  14.6 99.0 99.00 
2021 08 01 01 00 263  8.4 10.3 99.00 99.00 99.00 999 1016.5  16.1  17.0  14.6 99.0 99.00 
2021 08 01 01 10 261  8.4 10.7 99.00 99.00 99.00 999 1016.4  16.1  17.0  14.6 99.0 99.00 
2021 08 01 01 20 262  8.4 10.8 99.00 99.00 99.00 999 1016.2  16.1  17.1  14.6 99.0 99.00 
2021 08 01 01 30 262  8.1  9.8 99.00 99.00 99.00 999 1016.2  16.1  17.1  14.6 99.0 99.00 
2021 08 01 01 40 264  8.3 10.1  1.14  5.00  4.22 270 1016.2  16.1  17.1  14.6 99.0 99.00 
2021 08 01 01 50 264  7.7  9.5 99.00 99.00 99.00 999 1016.1  16.1  17.1  14.7 99.0 99.00 
2021 08 01 02 00 262  7.7  9.7 99.00 99.00 99.00 999 1016.0  16.1  17.1  14.7 99.0 99.00 
2021 08 01 02 10 261  7.8  9.8 99.00 99.00 99.00 999 1016.0  16.1  17.1  14.7 99.0 99.00 
2021 08 01 02 20 255  7.7  9.5 99.00 99.00 99.00 999 1015.9  16.1  17.1  14.7 99.0 99.00 
2021 08 01 02 30 252  7.7  9.4 99.00 99.00 99.00 999 1015.9  16.1  17.1  14.7 99.0 99.00 
2021 08 01 02 40 252  7.8  9.7  1.15  5.26  4.11 268 1015.8  16.1  17.1  14.7 99.0 99.00 
2021 08 01 02 50 247  7.2  8.7 99.00 99.00 99.00 999 1015.9  16.1  17.1  14.8 99.0 99.00 
2021 08 01 03 00 244  7.3  9.2 99.00 99.00 99.00 999 1015.7  16.1  17.1  14.8 99.0 99.00 
2021 08 01 03 10 247  6.9  9.0 99.00 99.00 99.00 999 1016.0  16.1  17.1  14.8 99.0 99.00 
2021 08 01 03 20 248  6.4  7.9 99.00 99.00 99.00 999 1015.8  16.1  17.1  14.8 99.0 99.00 
2021 08 01 03 30 247  6.6  8.1 99.00 99.00 99.00 999 1015.9  16.2  17.1  15.0 99.0 99.00 
2021 08 01 03 40 253  6.0  7.7  1.09  5.26  4.20 275 1016.0  16.1  17.1  14.9 99.0 99.00 
2021 08 01 03 50 251  5.8  7.5 99.00 99.00 99.00 999 1016.1  16.2  17.1  15.0 99.0 99.00 
2021 08 01 04 00 252  6.3  7.6 99.00 99.00 99.00 999 1016.0  16.1  17.1  14.9 99.0 99.00 
2021 08 01 04 10 251  6.1  7.7 99.00 99.00 99.00 999 1016.1  16.1  17.1  14.9 99.0 99.00 
2021 08 01 04 20 249  5.9  7.0 99.00 99.00 99.00 999 1016.1  16.1  17.1  14.9 99.0 99.00 
2021 08 01 04 30 248  5.6  7.4 99.00 99.00 99.00 999 1016.3  16.1  17.1  14.8 99.0 99.00 
2021 08 01 04 40 246  5.5  6.8  1.03  5.56  4.22 263 1016.2  16.1  17.1  14.8 99.0 99.00 
2021 08 01 04 50 240  5.9  7.3 99.00 99.00 99.00 999 1016.2  16.1  17.1  14.8 99.0 99.00 
2021 08 01 05 00 244  6.3  7.4 99.00 99.00 99.00 999 1016.2  16.2  17.1  15.0 99.0 99.00 
2021 08 01 05 10 238  6.7  8.1 99.00 99.00 99.00 999 1016.3  16.2  17.1  15.0 99.0 99.00 
2021 08 01 05 20 236  6.6  7.9 99.00 99.00 99.00 999 1016.4  16.2  17.0  15.0 99.0 99.00 
2021 08 01 05 30 237  6.1  7.7 99.00 99.00 99.00 999 1016.4  16.2  17.0  15.0 99.0 99.00 
2021 08 01 05 40 237  6.2  7.5  0.95  5.26  4.06 265 1016.4  16.2  17.0  15.0 99.0 99.00 
2021 08 01 05 50 233  6.5  7.8 99.00 99.00 99.00 999 1016.4  16.3  17.0  15.0 99.0 99.00 
2021 08 01 06 00 232  6.5  7.7 99.00 99.00 99.00 999 1016.3  16.4  17.0  15.0 99.0 99.00 
2021 08 01 06 10 230  6.7  7.9 99.00 99.00 99.00 999 1016.3  16.4  17.0  15.1 99.0 99.00 
2021 08 01 06 20 232  6.8  8.3 99.00 99.00 99.00 999 1016.3  16.4  17.0  15.0 99.0 99.00 
2021 08 01 06 30 235  6.8  8.0 99.00 99.00 99.00 999 1016.3  16.3  17.0  15.0 99.0 99.00 
2021 08 01 06 40 237  6.4  8.0  0.91  5.00  4.04 254 1016.3  16.3  17.0  15.0 99.0 99.00 
2021 08 01 06 50 240  6.5  8.1 99.00 99.00 99.00 999 1016.3  16.3  17.0  15.0 99.0 99.00 
2021 08 01 07 00 236  7.0  8.2 99.00 99.00 99.00 999 1016.3  16.2  17.0  14.9 99.0 99.00 
2021 08 01 07 10 237  7.0  8.7 99.00 99.00 99.00 999 1016.2  16.2  17.0  14.9 99.0 99.00 
2021 08 01 07 20 238  7.2  8.6 99.00 99.00 99.00 999 1016.2  16.2  17.0  14.9 99.0 99.00 
2021 08 01 07 30 236  7.6  9.0 99.00 99.00 99.00 999 1016.0  16.1  17.0  14.9 99.0 99.00 
2021 08 01 07 40 238  7.9  9.7  0.89  4.76  3.83 254 1015.9  16.1  17.0  14.9 99.0 99.00 
2021 08 01 07 50 237  8.0  9.5 99.00 99.00 99.00 999 1015.9  16.1  17.0  14.9 99.0 99.00 
