#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2021 12 01 00 00 267  1.8  2.6 99.00 99.00 99.00 999 1016.1  15.1  16.1  13.4 99.0 99.00 
2021 12 01 00 10 274  2.1  2.9 99.00 99.00 99.00 999 1016.1  15.0  16.1  13.4 99.0 99.00 
2021 12 01 00 20 276  2.3  3.2 99.00 99.00 99.00 999 1016.1  14.9  16.0  13.5 99.0 99.00 
2021 12 01 00 30 283  2.3  3.4 99.00 99.00 99.00 999 1015.9  14.8  16.0  13.5 99.0 99.00 
2021 12 01 00 40 283  2.6  4.1  1.05 10.81  6.87 257 1016.0  14.3  15.9  13.3 99.0 99.00 
2021 12 01 00 50 280  3.2  4.3 99.00 99.00 99.00 999 1016.2  13.4  15.9  13.0 99.0 99.00 
2021 12 01 01 00 284  4.0  5.4 99.00 99.00 99.00 999 1016.3  13.1  15.9  12.8 99.0 99.00 
2021 12 01 01 10 279  4.0  5.3 99.00 99.00 99.00 999 1016.3  12.9  15.9  12.7 99.0 99.00 
2021 12 01 01 20 277  3.9  5.1 99.00 99.00 99.00 999 1016.3  12.8  15.8  12.7 99.0 99.00 
2021 12 01 01 30 279  4.0  5.2 99.00 99.00 99.00 999 1016.3  12.7  15.8  12.6 99.0 99.00 
2021 12 01 01 40 274  4.4  5.6  1.01 12.12  6.72 250 1016.5  12.6  15.8  12.5 99.0 99.00 
2021 12 01 01 50 265  2.2  4.4 99.00 99.00 99.00 999 1016.8  12.6  15.8  12.5 99.0 99.00 
2021 12 01 02 00 238  1.8  2.7 99.00 99.00 99.00 999 1016.7  12.5  15.8  12.4 99.0 99.00 
2021 12 01 02 10 270  2.6  4.3 99.00 99.00 99.00 999 1016.7  12.5  15.8  12.4 99.0 99.00 
2021 12 01 02 20 267  2.7  3.8 99.00 99.00 99.00 999 1016.9  12.5  15.8  12.4 99.0 99.00 
2021 12 01 02 30 271  3.1  4.4 99.00 99.00 99.00 999 1016.9  12.4  15.7  12.3 99.0 99.00 
2021 12 01 02 40 281  3.7  5.2  1.08 11.43  6.85 272 1016.8  12.4  15.7  12.3 99.0 99.00 
2021 12 01 02 50 288  4.7  6.1 99.00 99.00 99.00 999 1016.5  12.5  15.7  12.4 99.0 99.00 
2021 12 01 03 00 290  5.3  6.4 99.00 99.00 99.00 999 1016.5  12.6  15.7  12.5 99.0 99.00 
2021 12 01 03 10 285  4.2  5.7 99.00 99.00 99.00 999 1016.9  12.6  15.7  12.5 99.0 99.00 
2021 12 01 03 20 267  3.1  4.5 99.00 99.00 99.00 999 1016.8  12.6  15.7  12.5 99.0 99.00 
