#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2021 02 01 00 00 291  2.8  3.5 99.00 99.00 99.00 999 1019.8  13.9  13.6  10.9 99.0 99.00 
2021 02 01 00 10 289  2.7  3.4 99.00 99.00 99.00 999 1019.8  13.9  13.6  11.1 99.0 99.00 
2021 02 01 00 20 293  2.2  3.1 99.00 99.00 99.00 999 1019.8  13.8  13.6  11.0 99.0 99.00 
2021 02 01 00 30 306  2.0  2.4 99.00 99.00 99.00 999 1019.6  13.8  13.6  10.9 99.0 99.00 
2021 02 01 00 40 316  1.6  2.2  0.78 16.00  7.31 254 1019.8  13.8  13.6  10.9 99.0 99.00 
2021 02 01 00 50 325  1.1  1.8 99.00 99.00 99.00 999 1019.8  13.9  13.6  11.0 99.0 99.00 
2021 02 01 01 00   3  0.4  0.8 99.00 99.00 99.00 999 1019.7  13.9  13.6  11.3 99.0 99.00 
2021 02 01 01 10  25  0.0  0.3 99.00 99.00 99.00 999 1019.8  13.8  13.6  11.2 99.0 99.00 
2021 02 01 01 20 210  0.5  1.1 99.00 99.00 99.00 999 1019.8  13.8  13.6  11.3 99.0 99.00 
2021 02 01 01 30 200  1.3  1.7 99.00 99.00 99.00 999 1019.8  13.8  13.6  11.5 99.0 99.00 
2021 02 01 01 40 206  1.8  2.3  0.81  9.09  7.28 269 1019.9  13.8  13.6  11.9 99.0 99.00 
2021 02 01 01 50 210  2.1  2.7 99.00 99.00 99.00 999 1019.9  13.8 999.0  12.2 99.0 99.00 
2021 02 01 02 00 204  2.4  2.8 99.00 99.00 99.00 999 1019.8  13.6  13.6  11.9 99.0 99.00 
2021 02 01 02 10 210  2.3  2.7 99.00 99.00 99.00 999 1019.9  13.6  13.6  11.9 99.0 99.00 
2021 02 01 02 20 208  2.2  3.0 99.00 99.00 99.00 999 1019.9  13.6  13.6  11.8 99.0 99.00 
2021 02 01 02 30 212  2.8  3.4 99.00 99.00 99.00 999 1020.1  13.7  13.6  12.1 99.0 99.00 
2021 02 01 02 40 221  3.3  4.2  0.77 16.00  7.41 254 1020.2  13.6  13.6  12.0 99.0 99.00 
2021 02 01 02 50 231  3.9  4.6 99.00 99.00 99.00 999 1020.3  13.6  13.6  12.1 99.0 99.00 
2021 02 01 03 00 243  3.8  4.5 99.00 99.00 99.00 999 1020.3  13.6  13.6  12.2 99.0 99.00 
2021 02 01 03 10 253  3.5  4.2 99.00 99.00 99.00 999 1020.3  13.4  13.6  11.5 99.0 99.00 
2021 02 01 03 20 265  3.3  3.9 99.00 99.00 99.00 999 1020.3  13.6  13.6  11.1 99.0 99.00 
2021 02 01 03 30 280  2.6  3.5 99.00 99.00 99.00 999 1020.2  13.7  13.6  11.5 99.0 99.00 
2021 02 01 03 40 282  2.3  3.2  0.81 16.00  7.20 268 1020.4  13.7  13.6  11.8 99.0 99.00 
2021 02 01 03 50 297  2.7  3.9 99.00 99.00 99.00 999 1020.5  13.7  13.6  12.0 99.0 99.00 
2021 02 01 04 00 307  2.7  3.5 99.00 99.00 99.00 999 1020.4  13.7  13.6  12.3 99.0 99.00 
2021 02 01 04 10 310  2.5  3.2 99.00 99.00 99.00 999 1020.7  13.6  13.5  12.2 99.0 99.00 
2021 02 01 04 20 302  2.1  2.9 99.00 99.00 99.00 999 1020.9  13.6  13.5  12.3 99.0 99.00 
2021 02 01 04 30 318  2.3  3.2 99.00 99.00 99.00 999 1020.4  13.6  13.5  12.3 99.0 99.00 
