#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2021 01 01 00 00 316  3.7  5.0 99.00 99.00 99.00 999 1016.2  15.5  14.1   6.4 99.0 99.00 
2021 01 01 00 10 293  3.3  4.3 99.00 99.00 99.00 999 1016.3  15.1  14.1   7.8 99.0 99.00 
2021 01 01 00 20 273  1.8  3.3 99.00 99.00 99.00 999 1016.4  15.1  14.1   7.8 99.0 99.00 
2021 01 01 00 30 297  4.1  7.3 99.00 99.00 99.00 999 1016.4  15.3  14.1   6.9 99.0 99.00 
2021 01 01 00 40 310  5.5  7.4  1.73 17.39  5.94 275 1016.3  15.3  14.1   7.6 99.0 99.00 
2021 01 01 00 50 294  6.2  8.4 99.00 99.00 99.00 999 1016.3  15.1  14.1   8.4 99.0 99.00 
2021 01 01 01 00 296  6.1  8.2 99.00 99.00 99.00 999 1016.4  15.0 999.0   8.8 99.0 99.00 
2021 01 01 01 10 310  5.9  7.4 99.00 99.00 99.00 999 1016.4  15.0  14.1   8.2 99.0 99.00 
2021 01 01 01 20 308  6.5  8.5 99.00 99.00 99.00 999 1016.5  15.0  14.1   8.6 99.0 99.00 
2021 01 01 01 30 304  6.8  8.9 99.00 99.00 99.00 999 1016.8  14.9  14.1   8.3 99.0 99.00 
2021 01 01 01 40 302  6.6  8.1  1.70 16.00  5.91 301 1016.8  14.8  14.1   7.7 99.0 99.00 
2021 01 01 01 50 311  6.1  7.6 99.00 99.00 99.00 999 1016.9  14.8  14.0   7.9 99.0 99.00 
2021 01 01 02 00 308  5.6  6.9 99.00 99.00 99.00 999 1017.1  14.8  14.0   8.2 99.0 99.00 
2021 01 01 02 10 315  6.0  7.6 99.00 99.00 99.00 999 1017.1  14.7  14.0   7.8 99.0 99.00 
2021 01 01 02 20 320  4.9  6.4 99.00 99.00 99.00 999 1017.0  14.8  14.0   7.8 99.0 99.00 
2021 01 01 02 30 315  5.4  7.2 99.00 99.00 99.00 999 1017.1  14.7  14.0   8.4 99.0 99.00 
2021 01 01 02 40 313  6.5  8.2  1.54 17.39  5.87 283 1017.1  14.5  14.0   8.0 99.0 99.00 
2021 01 01 02 50 320  6.9  8.9 99.00 99.00 99.00 999 1017.0  14.4  14.0   7.7 99.0 99.00 
2021 01 01 03 00 321  5.8  7.4 99.00 99.00 99.00 999 1017.0  14.4  14.0   8.4 99.0 99.00 
2021 01 01 03 10 313  6.6  9.2 99.00 99.00 99.00 999 1017.1  14.3  14.0   7.8 99.0 99.00 
