#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2021 07 01 00 00 266  5.1  6.4 99.00 99.00 99.00 999 1012.5  17.5  18.9  16.4 99.0 99.00 
2021 07 01 00 10 270  4.9  6.4 99.00 99.00 99.00 999 1012.5  17.4  18.8  16.3 99.0 99.00 
2021 07 01 00 20 275  5.6  6.8 99.00 99.00 99.00 999 1012.4  17.3  18.8  16.2 99.0 99.00 
2021 07 01 00 30 274  5.6  6.8 99.00 99.00 99.00 999 1012.4  17.2  18.7  16.0 99.0 99.00 
2021 07 01 00 40 274  5.4  6.5  0.90 10.81  5.30 275 1012.3  17.2  18.7  16.0 99.0 99.00 
2021 07 01 00 50 275  5.8  7.1 99.00 99.00 99.00 999 1012.2  17.1  18.6  15.9 99.0 99.00 
2021 07 01 01 00 275  5.9  7.1 99.00 99.00 99.00 999 1012.1  17.1  18.4  15.9 99.0 99.00 
2021 07 01 01 10 278  6.0  7.2 99.00 99.00 99.00 999 1012.1  17.0  18.1  15.8 99.0 99.00 
2021 07 01 01 20 280  6.0  7.2 99.00 99.00 99.00 999 1012.1  17.0  18.1  15.8 99.0 99.00 
2021 07 01 01 30 277  6.2  7.5 99.00 99.00 99.00 999 1012.1  17.0  18.1  15.8 99.0 99.00 
2021 07 01 01 40 278  5.8  7.1  0.92  8.33  4.87 270 1012.2  17.1  17.9  15.9 99.0 99.00 
2021 07 01 01 50 274  5.7  6.8 99.00 99.00 99.00 999 1012.2  17.2  18.0  16.0 99.0 99.00 
2021 07 01 02 00 268  5.1  6.5 99.00 99.00 99.00 999 1012.3  17.0  17.9  15.9 99.0 99.00 
2021 07 01 02 10 274  4.7  6.0 99.00 99.00 99.00 999 1012.3  17.0  17.9  15.9 99.0 99.00 
2021 07 01 02 20 275  4.6  5.7 99.00 99.00 99.00 999 1012.4  17.0  17.8  15.9 99.0 99.00 
2021 07 01 02 30 273  4.9  6.3 99.00 99.00 99.00 999 1012.4  17.0  17.8  15.8 99.0 99.00 
2021 07 01 02 40 268  4.9  6.5  0.98  7.69  5.55 269 1012.4  17.1  17.9  15.9 99.0 99.00 
2021 07 01 02 50 268  4.6  6.6 99.00 99.00 99.00 999 1012.4  17.1  17.8  15.9 99.0 99.00 
2021 07 01 03 00 270  4.3  5.3 99.00 99.00 99.00 999 1012.6  17.2  17.9  15.9 99.0 99.00 
2021 07 01 03 10 260  4.0  5.1 99.00 99.00 99.00 999 1012.6  17.2  17.8  15.9 99.0 99.00 
2021 07 01 03 20 263  3.8  5.0 99.00 99.00 99.00 999 1012.6  17.2 999.0  15.9 99.0 99.00 
2021 07 01 03 30 260  4.6  6.0 99.00 99.00 99.00 999 1012.6  17.3  17.9  16.2 99.0 99.00 
2021 07 01 03 40 264  4.9  6.0  0.90 10.00  5.31 275 1012.6  17.2  17.9  16.2 99.0 99.00 
2021 07 01 03 50 270  4.6  5.6 99.00 99.00 99.00 999 1012.7  17.2  17.9  16.2 99.0 99.00 
2021 07 01 04 00 267  4.2  6.0 99.00 99.00 99.00 999 1012.8  17.2  17.9  16.2 99.0 99.00 
2021 07 01 04 10 264  4.0  5.6 99.00 99.00 99.00 999 1012.9  17.2  17.9  16.0 99.0 99.00 
2021 07 01 04 20 273  4.0  5.5 99.00 99.00 99.00 999 1012.9  17.3  17.9  16.0 99.0 99.00 
2021 07 01 04 30 261  3.8  5.3 99.00 99.00 99.00 999 1013.1  17.2  17.9  15.9 99.0 99.00 
2021 07 01 04 40 252  3.4  5.1  0.89  9.09  5.39 272 1013.1  17.1  17.9  15.8 99.0 99.00 
2021 07 01 04 50 240  3.0  4.1 99.00 99.00 99.00 999 1013.2  17.0  17.9  15.8 99.0 99.00 
2021 07 01 05 00 235  3.0  4.2 99.00 99.00 99.00 999 1013.3  17.0  18.0  15.9 99.0 99.00 
2021 07 01 05 10 238  3.2  4.3 99.00 99.00 99.00 999 1013.4  17.0  18.1  15.9 99.0 99.00 
2021 07 01 05 20 239  2.1  3.5 99.00 99.00 99.00 999 1013.4  17.0  18.1  15.9 99.0 99.00 
2021 07 01 05 30 239  2.2  3.2 99.00 99.00 99.00 999 1013.5  17.0  18.3  16.0 99.0 99.00 
2021 07 01 05 40 236  2.8  3.6  0.82 10.00  5.70 273 1013.4  17.0  18.4  15.9 99.0 99.00 
2021 07 01 05 50 221  2.7  3.8 99.00 99.00 99.00 999 1013.5  17.0  18.4  16.0 99.0 99.00 
2021 07 01 06 00 242  2.5  3.3 99.00 99.00 99.00 999 1013.4  17.0  18.4  16.0 99.0 99.00 
2021 07 01 06 10 238  2.2  3.1 99.00 99.00 99.00 999 1013.4  16.9  18.4  15.9 99.0 99.00 
2021 07 01 06 20 224  1.9  3.2 99.00 99.00 99.00 999 1013.5  16.9  18.5  15.9 99.0 99.00 
2021 07 01 06 30 241  2.4  3.1 99.00 99.00 99.00 999 1013.5  16.9  18.6  16.0 99.0 99.00 
2021 07 01 06 40 226  2.1  2.8  0.77  9.09  5.35 264 1013.5  16.8  18.6  15.9 99.0 99.00 
2021 07 01 06 50 218  2.7  3.8 99.00 99.00 99.00 999 1013.7  16.8  18.7  15.9 99.0 99.00 
2021 07 01 07 00 222  2.6  3.4 99.00 99.00 99.00 999 1013.7  16.7  18.7  15.9 99.0 99.00 
2021 07 01 07 10 197  2.6  3.8 99.00 99.00 99.00 999 1013.7  16.6  18.7  15.8 99.0 99.00 
2021 07 01 07 20 202  2.9  3.9 99.00 99.00 99.00 999 1013.8  16.5  18.7  15.8 99.0 99.00 
2021 07 01 07 30 194  2.7  3.4 99.00 99.00 99.00 999 1013.8  16.5  18.7  15.9 99.0 99.00 
2021 07 01 07 40 201  2.5  3.4  0.73  8.33  5.18 266 1014.0  16.4  18.7  15.8 99.0 99.00 
2021 07 01 07 50 197  2.5  3.3 99.00 99.00 99.00 999 1014.1  16.5  18.7  15.9 99.0 99.00 
2021 07 01 08 00 205  2.3  3.0 99.00 99.00 99.00 999 1014.2  16.4  18.7  15.8 99.0 99.00 
2021 07 01 08 10 205  2.3  2.9 99.00 99.00 99.00 999 1014.2  16.5  18.7  15.9 99.0 99.00 
2021 07 01 08 20 216  1.6  2.3 99.00 99.00 99.00 999 1014.2  16.4  18.6  15.9 99.0 99.00 
2021 07 01 08 30 211  1.3  1.8 99.00 99.00 99.00 999 1014.3  16.4  18.6  15.9 99.0 99.00 
2021 07 01 08 40 210  1.5  2.3  0.77 10.00  5.55 281 1014.1  16.4  18.6  15.9 99.0 99.00 
2021 07 01 08 50 203  1.3  1.9 99.00 99.00 99.00 999 1014.0  16.4  18.5  15.9 99.0 99.00 
2021 07 01 09 00 205  0.9  1.7 99.00 99.00 99.00 999 1013.9  16.4  18.6  15.9 99.0 99.00 
2021 07 01 09 10 202  0.4  1.1 99.00 99.00 99.00 999 1013.8  16.5  18.6  16.0 99.0 99.00 
2021 07 01 09 20 216  0.7  1.4 99.00 99.00 99.00 999 1013.8  16.5  18.7  16.0 99.0 99.00 
2021 07 01 09 30 209  0.9  1.6 99.00 99.00 99.00 999 1013.7  16.5  18.7  16.0 99.0 99.00 
2021 07 01 09 40 189  0.4  1.2  0.75 10.00  6.03 272 1013.6  16.5  18.7  16.0 99.0 99.00 
2021 07 01 09 50 204  0.2  0.7 99.00 99.00 99.00 999 1013.5  16.5  18.6  16.0 99.0 99.00 
2021 07 01 10 00 140  0.1  0.7 99.00 99.00 99.00 999 1013.5  16.5  18.6  16.0 99.0 99.00 
2021 07 01 10 10 116  0.1  0.8 99.00 99.00 99.00 999 1013.5  16.5  18.5  16.0 99.0 99.00 
2021 07 01 10 20  48  0.0  0.3 99.00 99.00 99.00 999 1013.5  16.5  18.5  15.9 99.0 99.00 
2021 07 01 10 30 353  0.2  0.7 99.00 99.00 99.00 999 1013.5  16.6  18.6  16.0 99.0 99.00 
2021 07 01 10 40  39  0.0  0.1  0.75  9.09  6.15 273 1013.5  16.7  18.6  16.1 99.0 99.00 
2021 07 01 10 50 342  0.0  0.6 99.00 99.00 99.00 999 1013.4  16.7  18.6  16.0 99.0 99.00 
2021 07 01 11 00 287  0.2  0.8 99.00 99.00 99.00 999 1013.5  16.8  18.6  16.1 99.0 99.00 
2021 07 01 11 10 238  0.4  1.1 99.00 99.00 99.00 999 1013.5  16.8  18.5  16.1 99.0 99.00 
2021 07 01 11 20 250  0.5  1.1 99.00 99.00 99.00 999 1013.7  16.9  18.5  16.2 99.0 99.00 
