#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2021 06 01 00 00 264  4.4  5.3 99.00 99.00 99.00 999 1014.3  13.4  14.8  13.1 99.0 99.00 
2021 06 01 00 10 259  4.0  5.2 99.00 99.00 99.00 999 1014.4  13.4  14.7  13.1 99.0 99.00 
2021 06 01 00 20 258  3.6  4.5 99.00 99.00 99.00 999 1014.3  13.6  14.6  13.3 99.0 99.00 
2021 06 01 00 30 260  3.5  4.4 99.00 99.00 99.00 999 1014.2  13.7  14.5  13.3 99.0 99.00 
2021 06 01 00 40 260  3.6  4.5  0.72  8.33  6.14 250 1014.1  13.8  14.4  13.3 99.0 99.00 
2021 06 01 00 50 263  3.5  4.9 99.00 99.00 99.00 999 1014.1  13.9  14.3  13.3 99.0 99.00 
2021 06 01 01 00 270  3.9  5.0 99.00 99.00 99.00 999 1014.1  13.9  14.3  13.2 99.0 99.00 
2021 06 01 01 10 273  4.2  5.3 99.00 99.00 99.00 999 1014.2  14.0  14.3  13.4 99.0 99.00 
2021 06 01 01 20 275  4.4  5.6 99.00 99.00 99.00 999 1014.2  14.0  14.3  13.4 99.0 99.00 
2021 06 01 01 30 278  4.0  5.2 99.00 99.00 99.00 999 1014.2  14.1  14.3  13.5 99.0 99.00 
2021 06 01 01 40 280  4.1  5.1  0.73  9.09  6.28 250 1014.3  14.1  14.3  13.4 99.0 99.00 
2021 06 01 01 50 279  4.1  5.0 99.00 99.00 99.00 999 1014.3  14.1  14.2  13.4 99.0 99.00 
2021 06 01 02 00 282  4.0  4.9 99.00 99.00 99.00 999 1014.3  14.1  14.5  13.4 99.0 99.00 
2021 06 01 02 10 281  4.1  5.0 99.00 99.00 99.00 999 1014.4  14.1  14.5  13.4 99.0 99.00 
2021 06 01 02 20 280  4.2  5.0 99.00 99.00 99.00 999 1014.5  14.0  14.5  13.3 99.0 99.00 
2021 06 01 02 30 277  4.6  5.9 99.00 99.00 99.00 999 1014.5  13.9  14.6  13.2 99.0 99.00 
