#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2021 03 01 00 00 288  3.7  4.8 99.00 99.00 99.00 999 1021.5  14.5  14.0  10.5 99.0 99.00 
2021 03 01 00 10 287  4.1  5.6 99.00 99.00 99.00 999 1021.4  14.4  14.0  10.8 99.0 99.00 
2021 03 01 00 20 286  4.6  5.8 99.00 99.00 99.00 999 1021.4  14.1  13.9  10.1 99.0 99.00 
2021 03 01 00 30 288  4.5  5.7 99.00 99.00 99.00 999 1021.5  14.1  13.9   9.5 99.0 99.00 
2021 03 01 00 40 297  4.2  5.1  1.30 13.79  7.20 279 1021.5  14.1  13.9   9.7 99.0 99.00 
2021 03 01 00 50 300  4.0  5.0 99.00 99.00 99.00 999 1021.6  14.1  13.8   9.7 99.0 99.00 
2021 03 01 01 00 304  4.1  5.0 99.00 99.00 99.00 999 1021.6  14.1  13.7   9.1 99.0 99.00 
2021 03 01 01 10 305  3.8  4.9 99.00 99.00 99.00 999 1021.6  14.2  13.7   9.6 99.0 99.00 
2021 03 01 01 20 301  3.7  4.7 99.00 99.00 99.00 999 1021.7  14.1  13.8   9.5 99.0 99.00 
2021 03 01 01 30 300  3.7  4.9 99.00 99.00 99.00 999 1021.7  14.1  13.7   9.1 99.0 99.00 
2021 03 01 01 40 298  3.8  4.6  1.33 13.79  7.27 268 1021.7  14.1  13.7   8.4 99.0 99.00 
2021 03 01 01 50 281  3.4  4.5 99.00 99.00 99.00 999 1021.7  14.1  13.6   8.7 99.0 99.00 
2021 03 01 02 00 282  3.4  4.3 99.00 99.00 99.00 999 1021.7  14.1  13.6   9.1 99.0 99.00 
2021 03 01 02 10 283  3.5  4.4 99.00 99.00 99.00 999 1021.8  14.0  13.6   8.8 99.0 99.00 
