#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2021 05 01 00 00 229  6.6  7.9 99.00 99.00 99.00 999 1015.9  13.2  12.5  11.8 99.0 99.00 
2021 05 01 00 10 229  6.4  7.6 99.00 99.00 99.00 999 1015.8  13.2  12.5  11.8 99.0 99.00 
2021 05 01 00 20 232  6.5  7.8 99.00 99.00 99.00 999 1015.6  13.2  12.5  11.9 99.0 99.00 
2021 05 01 00 30 233  6.7  8.6 99.00 99.00 99.00 999 1015.5  13.3  12.6  11.9 99.0 99.00 
2021 05 01 00 40 239  7.0  9.1  1.54  6.67  5.20 260 1015.4  13.3  12.6  11.9 99.0 99.00 
2021 05 01 00 50 246  7.8  9.4 99.00 99.00 99.00 999 1015.4  13.3  12.6  11.9 99.0 99.00 
2021 05 01 01 00 241  7.1  8.7 99.00 99.00 99.00 999 1015.4  13.2  12.5  11.8 99.0 99.00 
2021 05 01 01 10 243  7.5  9.1 99.00 99.00 99.00 999 1015.4  13.2  12.5  11.8 99.0 99.00 
2021 05 01 01 20 236  6.7  8.3 99.00 99.00 99.00 999 1015.4  13.1  12.5  11.7 99.0 99.00 
2021 05 01 01 30 235  6.2  7.7 99.00 99.00 99.00 999 1015.4  13.1  12.5  11.7 99.0 99.00 
2021 05 01 01 40 241  6.3  7.7  1.59  6.67  5.16 267 1015.3  13.1  12.4  11.7 99.0 99.00 
2021 05 01 01 50 245  5.7  7.5 99.00 99.00 99.00 999 1015.3  13.1  12.4  11.6 99.0 99.00 
2021 05 01 02 00 242  5.5  7.0 99.00 99.00 99.00 999 1015.2  13.1  12.4  11.6 99.0 99.00 
2021 05 01 02 10 242  5.6  7.1 99.00 99.00 99.00 999 1015.1  13.1  12.4  11.6 99.0 99.00 
2021 05 01 02 20 243  5.9  7.5 99.00 99.00 99.00 999 1015.0  13.0  12.3  11.5 99.0 99.00 
2021 05 01 02 30 242  6.0  7.5 99.00 99.00 99.00 999 1015.0  13.0  12.3  11.5 99.0 99.00 
2021 05 01 02 40 239  6.8  8.5  1.78  6.67  5.16 262 1015.0  13.0  12.3  11.5 99.0 99.00 
2021 05 01 02 50 243  7.0  8.2 99.00 99.00 99.00 999 1014.9  12.9  12.2  11.5 99.0 99.00 
2021 05 01 03 00 243  6.6  8.1 99.00 99.00 99.00 999 1015.1  12.9  12.0  11.5 99.0 99.00 
2021 05 01 03 10 244  6.7  8.3 99.00 99.00 99.00 999 1015.1  12.9  12.0  11.5 99.0 99.00 
2021 05 01 03 20 245  7.1  8.4 99.00 99.00 99.00 999 1015.2  12.9  12.0  11.4 99.0 99.00 
2021 05 01 03 30 251  6.6  8.3 99.00 99.00 99.00 999 1015.4  12.9  12.0  11.4 99.0 99.00 
