#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2021 11 01 00 00 283  4.2  5.5 99.00 99.00 99.00 999 1016.3  15.6  16.3  13.7 99.0 99.00 
2021 11 01 00 10 289  3.7  4.8 99.00 99.00 99.00 999 1016.2  15.4  16.3  13.4 99.0 99.00 
2021 11 01 00 20 277  4.4  5.6 99.00 99.00 99.00 999 1016.5  15.4  16.4  13.3 99.0 99.00 
2021 11 01 00 30 274  3.7  5.1 99.00 99.00 99.00 999 1016.1  15.4  16.3  13.2 99.0 99.00 
2021 11 01 00 40 274  2.9  3.9  0.93 10.00  7.64 276 1016.0  15.4  16.3  13.2 99.0 99.00 
2021 11 01 00 50 284  2.4  4.0 99.00 99.00 99.00 999 1015.3  15.3  16.2  13.2 99.0 99.00 
2021 11 01 01 00 280  2.2  3.3 99.00 99.00 99.00 999 1015.9  15.2  16.2  13.1 99.0 99.00 
2021 11 01 01 10 257  2.4  3.5 99.00 99.00 99.00 999 1015.7  15.2  16.2  12.9 99.0 99.00 
2021 11 01 01 20 252  2.7  4.3 99.00 99.00 99.00 999 1016.1  15.2  16.2  12.7 99.0 99.00 
2021 11 01 01 30 250  4.5  6.1 99.00 99.00 99.00 999 1016.2  15.3  16.2  12.1 99.0 99.00 
2021 11 01 01 40 251  5.5  7.1  0.90 12.12  7.39 277 1016.2  15.4  16.1  11.8 99.0 99.00 
2021 11 01 01 50 251  3.7  5.2 99.00 99.00 99.00 999 1016.0  15.2  16.2  12.3 99.0 99.00 
2021 11 01 02 00 244  4.0  5.0 99.00 99.00 99.00 999 1016.2  15.2  16.2  12.8 99.0 99.00 
2021 11 01 02 10 249  4.3  5.6 99.00 99.00 99.00 999 1016.2  15.2  16.2  12.6 99.0 99.00 
2021 11 01 02 20 263  3.5  5.0 99.00 99.00 99.00 999 1016.0  15.2  16.1  12.5 99.0 99.00 
2021 11 01 02 30 277  2.0  3.4 99.00 99.00 99.00 999 1016.0  15.3  16.1  12.5 99.0 99.00 
2021 11 01 02 40 255  2.9  4.4  0.95 11.43  7.51 265 1016.6  15.4  16.1  12.7 99.0 99.00 
2021 11 01 02 50 251  4.1  5.4 99.00 99.00 99.00 999 1016.5  15.6  16.2  13.2 99.0 99.00 
2021 11 01 03 00 265  4.6  5.4 99.00 99.00 99.00 999 1016.3  15.5  16.1  13.2 99.0 99.00 
2021 11 01 03 10 274  4.6  6.1 99.00 99.00 99.00 999 1016.2  15.5  16.2  13.5 99.0 99.00 
2021 11 01 03 20 290  4.2  5.3 99.00 99.00 99.00 999 1016.1  15.5  16.2  13.6 99.0 99.00 
2021 11 01 03 30 286  2.9  4.3 99.00 99.00 99.00 999 1016.4  15.5 999.0  13.5 99.0 99.00 
2021 11 01 03 40 261  2.3  2.9  0.89 11.43  5.96 277 1016.4  15.5  16.2  13.3 99.0 99.00 
2021 11 01 03 50 263  2.2  2.9 99.00 99.00 99.00 999 1016.5  15.6  16.2  13.5 99.0 99.00 
2021 11 01 04 00 288  2.5  3.4 99.00 99.00 99.00 999 1016.6  15.6  16.2  13.8 99.0 99.00 
2021 11 01 04 10 314  1.9  2.8 99.00 99.00 99.00 999 1016.7  15.6  16.2  13.8 99.0 99.00 
2021 11 01 04 20 337  1.6  2.0 99.00 99.00 99.00 999 1016.8  15.6  16.1  13.7 99.0 99.00 
2021 11 01 04 30 349  1.2  1.8 99.00 99.00 99.00 999 1017.0  15.6  16.1  13.6 99.0 99.00 
2021 11 01 04 40 350  0.6  1.3  0.90 11.43  5.43 255 1017.1  15.5  16.1  13.3 99.0 99.00 
2021 11 01 04 50 330  0.3  0.7 99.00 99.00 99.00 999 1017.2  15.6  16.0  13.4 99.0 99.00 
2021 11 01 05 00 306  0.2  0.6 99.00 99.00 99.00 999 1017.3  15.5  16.0  13.3 99.0 99.00 
2021 11 01 05 10 322  0.3  0.9 99.00 99.00 99.00 999 1017.4  15.6  16.0  13.6 99.0 99.00 
2021 11 01 05 20 106  0.1  0.6 99.00 99.00 99.00 999 1017.4  15.5  16.0  13.5 99.0 99.00 
2021 11 01 05 30  56  0.9  1.8 99.00 99.00 99.00 999 1017.4  15.5 999.0  13.6 99.0 99.00 
2021 11 01 05 40  72  1.2  1.8  0.82 10.81  5.67 284 1017.5  15.4  16.1  13.6 99.0 99.00 
2021 11 01 05 50  67  1.4  2.2 99.00 99.00 99.00 999 1017.4  15.4  16.1  13.5 99.0 99.00 
2021 11 01 06 00  54  1.5  2.3 99.00 99.00 99.00 999 1017.4  15.5  16.1  13.7 99.0 99.00 
2021 11 01 06 10  51  2.0  2.8 99.00 99.00 99.00 999 1017.4  15.5  16.1  13.7 99.0 99.00 
2021 11 01 06 20  52  2.6  3.5 99.00 99.00 99.00 999 1017.4  15.5  16.1  13.7 99.0 99.00 
2021 11 01 06 30  59  3.1  4.0 99.00 99.00 99.00 999 1017.5  15.5  16.1  13.7 99.0 99.00 
2021 11 01 06 40  71  2.7  3.8  0.78 10.81  5.88 286 1017.5  15.5  16.1  13.6 99.0 99.00 
2021 11 01 06 50  71  2.7  3.5 99.00 99.00 99.00 999 1017.5  15.5  16.1  13.6 99.0 99.00 
2021 11 01 07 00  85  2.5  3.8 99.00 99.00 99.00 999 1017.6  15.6  16.1  13.7 99.0 99.00 
2021 11 01 07 10  90  2.4  3.4 99.00 99.00 99.00 999 1017.6  15.6  16.2  13.7 99.0 99.00 
2021 11 01 07 20  85  2.4  3.4 99.00 99.00 99.00 999 1017.7  15.6  16.1  13.7 99.0 99.00 
2021 11 01 07 30  83  2.4  3.7 99.00 99.00 99.00 999 1017.7  15.6  16.2  13.8 99.0 99.00 
2021 11 01 07 40  78  2.0  3.0  0.85 10.81  6.23 264 1017.8  15.6  16.2  13.7 99.0 99.00 
2021 11 01 07 50  73  1.4  2.4 99.00 99.00 99.00 999 1017.7  15.6  16.2  13.6 99.0 99.00 
2021 11 01 08 00  57  1.0  1.6 99.00 99.00 99.00 999 1017.9  15.6  16.2  13.7 99.0 99.00 
2021 11 01 08 10  73  0.6  1.4 99.00 99.00 99.00 999 1017.9  15.5  16.2  13.6 99.0 99.00 
2021 11 01 08 20  84  0.3  1.0 99.00 99.00 99.00 999 1017.8  15.4  16.2  13.5 99.0 99.00 
2021 11 01 08 30  34  1.4  2.5 99.00 99.00 99.00 999 1017.8  15.4  16.2  13.6 99.0 99.00 
2021 11 01 08 40  49  2.0  3.1  0.77 11.43  6.55 275 1017.7  15.6  16.2  13.9 99.0 99.00 
2021 11 01 08 50  74  1.6  2.4 99.00 99.00 99.00 999 1017.6  15.6  16.2  13.9 99.0 99.00 
2021 11 01 09 00  66  1.8  2.7 99.00 99.00 99.00 999 1017.7  15.5  16.2  13.7 99.0 99.00 
2021 11 01 09 10  63  2.1  2.8 99.00 99.00 99.00 999 1017.6  15.4  16.2  13.5 99.0 99.00 
2021 11 01 09 20  68  2.4  3.0 99.00 99.00 99.00 999 1017.7  15.4  16.2  13.3 99.0 99.00 
2021 11 01 09 30  69  2.2  2.9 99.00 99.00 99.00 999 1017.6  15.5  16.2  13.3 99.0 99.00 
2021 11 01 09 40  74  2.5  3.3  0.71 12.12  6.56 264 1017.7  15.5  16.1  13.3 99.0 99.00 
2021 11 01 09 50  80  2.3  3.2 99.00 99.00 99.00 999 1017.7  15.5  16.1  13.3 99.0 99.00 
2021 11 01 10 00  79  2.2  2.9 99.00 99.00 99.00 999 1017.7  15.5  16.1  13.1 99.0 99.00 
2021 11 01 10 10  81  2.7  3.5 99.00 99.00 99.00 999 1017.5  15.5  16.1  13.0 99.0 99.00 
2021 11 01 10 20  65  3.2  4.1 99.00 99.00 99.00 999 1017.3  15.6  16.1  13.2 99.0 99.00 
2021 11 01 10 30  90  1.2  3.1 99.00 99.00 99.00 999 1017.9  15.5  16.1  13.1 99.0 99.00 
2021 11 01 10 40 166  0.8  1.9  0.68 11.43  6.52 267 1018.1  15.4  16.1  12.9 99.0 99.00 
2021 11 01 10 50 217  0.8  1.8 99.00 99.00 99.00 999 1018.2  15.5  16.1  13.0 99.0 99.00 
2021 11 01 11 00 263  1.8  2.4 99.00 99.00 99.00 999 1018.2  15.5  16.1  13.1 99.0 99.00 
2021 11 01 11 10 289  2.5  3.9 99.00 99.00 99.00 999 1018.3  15.5 999.0  13.4 99.0 99.00 
2021 11 01 11 20 298  3.3  4.4 99.00 99.00 99.00 999 1018.1  15.5  16.1  13.5 99.0 99.00 
