#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2021 10 01 00 00 248  5.0  6.8 99.00 99.00 99.00 999 1012.7  18.1  17.5  15.1 99.0 99.00 
2021 10 01 00 10 246  4.8  5.9 99.00 99.00 99.00 999 1012.7  18.1  17.5  15.1 99.0 99.00 
2021 10 01 00 20 250  4.8  6.0 99.00 99.00 99.00 999 1012.8  18.1  17.5  15.0 99.0 99.00 
2021 10 01 00 30 249  5.2  6.3 99.00 99.00 99.00 999 1012.9  18.2  17.5  15.0 99.0 99.00 
2021 10 01 00 40 252  5.1  6.6  1.41 11.43  6.70 267 1012.9  18.1  17.5  14.9 99.0 99.00 
2021 10 01 00 50 258  5.4  6.8 99.00 99.00 99.00 999 1013.0  18.1  17.5  14.9 99.0 99.00 
2021 10 01 01 00 260  5.4  6.9 99.00 99.00 99.00 999 1012.9  18.1  17.5  14.9 99.0 99.00 
2021 10 01 01 10 269  5.4  7.0 99.00 99.00 99.00 999 1012.9  18.0 999.0  14.9 99.0 99.00 
2021 10 01 01 20 267  5.3  6.8 99.00 99.00 99.00 999 1012.9  17.9  17.4  15.0 99.0 99.00 
2021 10 01 01 30 265  5.4  6.6 99.00 99.00 99.00 999 1012.9  17.9  17.4  14.9 99.0 99.00 
2021 10 01 01 40 255  5.4  6.7  1.33 10.81  6.36 263 1012.9  17.9  17.3  15.0 99.0 99.00 
2021 10 01 01 50 260  5.5  6.8 99.00 99.00 99.00 999 1012.9  17.8  17.3  14.8 99.0 99.00 
2021 10 01 02 00 252  5.2  6.3 99.00 99.00 99.00 999 1012.9  17.8  17.3  14.9 99.0 99.00 
2021 10 01 02 10 251  5.1  6.4 99.00 99.00 99.00 999 1012.9  17.6  17.2  15.0 99.0 99.00 
2021 10 01 02 20 250  5.1  6.5 99.00 99.00 99.00 999 1013.0  17.6  17.3  15.1 99.0 99.00 
2021 10 01 02 30 246  5.1  6.3 99.00 99.00 99.00 999 1013.0  17.5  17.3  15.1 99.0 99.00 
2021 10 01 02 40 247  5.2  6.3  1.35 11.43  6.73 267 1013.1  17.4  17.2  15.0 99.0 99.00 
2021 10 01 02 50 248  5.4  6.5 99.00 99.00 99.00 999 1013.0  17.6  17.2  15.0 99.0 99.00 
2021 10 01 03 00 243  5.5  6.6 99.00 99.00 99.00 999 1013.0  17.5  17.2  15.0 99.0 99.00 
2021 10 01 03 10 246  5.7  7.2 99.00 99.00 99.00 999 1013.1  17.5  17.2  14.8 99.0 99.00 
2021 10 01 03 20 238  5.3  6.9 99.00 99.00 99.00 999 1013.1  17.6  17.2  14.7 99.0 99.00 
2021 10 01 03 30 232  5.1  6.4 99.00 99.00 99.00 999 1013.1  17.6  17.2  14.7 99.0 99.00 
2021 10 01 03 40 231  5.3  6.5  1.25 11.43  6.20 270 1013.2  17.9  17.2  14.6 99.0 99.00 
2021 10 01 03 50 237  5.0  6.4 99.00 99.00 99.00 999 1013.3  18.0  17.2  14.5 99.0 99.00 
2021 10 01 04 00 220  4.6  5.5 99.00 99.00 99.00 999 1013.4  18.0  17.3  14.8 99.0 99.00 
