#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2021 09 01 00 00 276  4.4  5.5 99.00 99.00 99.00 999 1007.9  16.9  17.8  16.6 99.0 99.00 
2021 09 01 00 10 274  5.0  5.9 99.00 99.00 99.00 999 1007.7  16.9  17.7  16.6 99.0 99.00 
2021 09 01 00 20 272  5.2  6.1 99.00 99.00 99.00 999 1007.7  16.8  17.7  16.5 99.0 99.00 
2021 09 01 00 30 276  5.3  7.0 99.00 99.00 99.00 999 1007.5  16.8  17.7  16.5 99.0 99.00 
2021 09 01 00 40 276  5.4  6.3  0.65  7.14  5.93 260 1007.4  16.7  17.6  16.4 99.0 99.00 
2021 09 01 00 50 277  5.4  6.4 99.00 99.00 99.00 999 1007.4  16.5  17.7  16.2 99.0 99.00 
2021 09 01 01 00 276  5.6  6.6 99.00 99.00 99.00 999 1007.4  16.5  17.7  16.2 99.0 99.00 
2021 09 01 01 10 271  5.5  6.6 99.00 99.00 99.00 999 1007.4  16.5  17.6  16.2 99.0 99.00 
2021 09 01 01 20 275  5.2  6.4 99.00 99.00 99.00 999 1007.4  16.4  17.5  16.1 99.0 99.00 
2021 09 01 01 30 275  4.6  6.0 99.00 99.00 99.00 999 1007.4  16.5  17.5  16.1 99.0 99.00 
2021 09 01 01 40 267  4.9  6.0  0.64  7.69  4.97 258 1007.4  16.8  17.5  16.3 99.0 99.00 
2021 09 01 01 50 268  5.3  6.5 99.00 99.00 99.00 999 1007.4  16.8  17.4  16.0 99.0 99.00 
2021 09 01 02 00 269  5.4  6.8 99.00 99.00 99.00 999 1007.4  16.8  17.4  15.9 99.0 99.00 
2021 09 01 02 10 263  5.0  6.0 99.00 99.00 99.00 999 1007.6  16.8  17.4  15.7 99.0 99.00 
2021 09 01 02 20 265  5.2  6.1 99.00 99.00 99.00 999 1007.6  16.8  17.3  15.7 99.0 99.00 
2021 09 01 02 30 266  4.8  6.5 99.00 99.00 99.00 999 1007.8  16.8  17.3  15.7 99.0 99.00 
2021 09 01 02 40 270  4.4  5.5  0.69  9.09  4.65 252 1007.8  16.8  17.3  15.8 99.0 99.00 
2021 09 01 02 50 271  4.3  5.3 99.00 99.00 99.00 999 1008.1  16.8  17.2  15.8 99.0 99.00 
2021 09 01 03 00 278  4.6  5.8 99.00 99.00 99.00 999 1008.3  16.7  17.1  15.7 99.0 99.00 
