"Date","Time (LST/LDT)","Wind Speed (m/s)","Wind Dir (deg)","Wind Gust (m/s)","Air Temp (°C)","Baro (mb)","Humidity (%)","Visibility (km)"
"2021/04/19","00:00","2.7","65","3.4","14","1016.5","-","-"
"2021/04/19","01:00","1.8","124","2.5","14.1","1016.7","-","-"
"2021/04/19","02:00","0.8","49","1.1","13.3","1016.4","-","-"
"2021/04/19","03:00","1.2","324","2.2","13.2","1016.4","-","-"
"2021/04/19","04:00","0.3","216","1.2","12.8","1016.4","-","-"
"2021/04/19","05:00","0.9","14","1.2","12.1","1016.2","-","-"
"2021/04/19","06:00","0.1","161","0.6","11.8","1016.2","-","-"
"2021/04/19","07:00","0.7","19","1.3","12.8","1016.5","-","-"
"2021/04/19","08:00","0.9","55","1.5","13.8","1016.8","-","-"
"2021/04/19","09:00","1.6","123","2.3","14","1016.6","-","-"
"2021/04/19","10:00","1.3","178","1.7","14.1","1016.9","-","-"
"2021/04/19","11:00","1.2","170","1.5","15","1017","-","-"
"2021/04/19","12:00","1.3","184","1.8","15.6","1017.1","-","-"
"2021/04/19","13:00","2.3","213","2.7","15.2","1016.7","-","-"
"2021/04/19","14:00","4.9","224","5.5","14.8","1015.9","-","-"
"2021/04/19","15:00","4.8","217","5.6","14.5","1015.4","-","-"
"2021/04/19","16:00","2.8","209","3.4","14.5","1014.5","-","-"
"2021/04/19","17:00","1.1","186","1.7","15.8","1014","-","-"
"2021/04/19","18:00","1.9","99","2.5","15","1013.5","-","-"
"2021/04/19","19:00","2","78","2.8","14.4","1013.1","-","-"
"2021/04/19","20:00","4","73","5.3","14.4","1013.1","-","-"
"2021/04/19","21:00","4","67","5.6","14.1","1013.7","-","-"
"2021/04/19","22:00","4.6","50","5.8","13.5","1014","-","-"
"2021/04/19","23:00","3.3","63","4.3","13.3","1013.9","-","-"
"2021/04/20","00:00","3.5","65","4.2","13.1","1013.7","-","-"
"2021/04/20","01:00","3","53","4.4","12.9","1013.5","-","-"
"2021/04/20","02:00","3.2","67","4.6","12.9","1013.3","-","-"
"2021/04/20","03:00","3.4","60","4.2","12.7","1012.9","-","-"
"2021/04/20","04:00","2.5","60","3.5","12.5","1012.9","-","-"
"2021/04/20","05:00","3.1","54","4","12.4","1012.9","-","-"
"2021/04/20","06:00","3.3","57","4.3","12.2","1012.7","-","-"
"2021/04/20","07:00","4","71","5","12.4","1013.2","-","-"
"2021/04/20","08:00","4.8","86","6.5","12.7","1014.1","-","-"
"2021/04/20","09:00","3.4","90","4.5","13","1014.5","-","-"
"2021/04/20","10:00","2.8","131","3.6","13.5","1014.8","-","-"
"2021/04/20","11:00","1.7","154","2.3","14","1015","-","-"
"2021/04/20","12:00","2.2","183","2.9","13.6","1014.8","-","-"
"2021/04/20","13:00","4.2","222","4.8","13.7","1014.3","-","-"
"2021/04/20","14:00","3.1","204","3.9","13.6","1013.8","-","-"
"2021/04/20","15:00","2.2","192","3.1","14.2","1013","-","-"
"2021/04/20","16:00","2","198","2.6","14.5","1012.4","-","-"
"2021/04/20","17:00","1.6","172","2.5","14.4","1011.9","-","-"
"2021/04/20","18:00","1.3","107","1.9","14.2","1011.5","-","-"
"2021/04/20","19:00","1.9","96","3","14.1","1011","-","-"
"2021/04/20","20:00","1.5","102","2.3","13.8","1011.3","-","-"
"2021/04/20","21:00","1.2","93","1.5","13.7","1011.7","-","-"
"2021/04/20","22:00","0.5","106","1","13.8","1012.3","-","-"
